"","UMAP1","UMAP2","Datatype","cell_type"
"Cell286",-0.200008503818469,3.16934185859074,"B",3
"Cell287",0.244059400391234,3.40329153860033,"B",3
"Cell288",6.0908167274446,3.87149113892239,"B",1
"Cell289",-7.77964782997503,-0.240609069533241,"B",1
"Cell290",1.88643550324827,4.06410827480379,"B",2
"Cell291",6.39736589362128,3.84496972960884,"B",1
"Cell292",0.146885261589903,1.2486802107437,"B",3
"Cell293",-8.98352749707762,0.941926139442186,"B",3
"Cell294",3.57717493045977,3.9419165096242,"B",2
"Cell295",-9.60395522260787,-0.122658700385123,"B",1
"Cell296",1.18203836733291,4.80675722112959,"B",2
"Cell297",1.03254462842803,4.39564153879529,"B",2
"Cell298",2.04628302614245,4.93575586754056,"B",2
"Cell299",-5.89583563275381,1.50601981021508,"B",1
"Cell300",7.93208303996207,3.60939588523898,"B",1
