"id","UMAP1","UMAP2","cell_type","Datatype"
"Cell63_1",3.757606277701,0.847213628811517,"2","A"
"Cell64_1",-1.44841519124691,1.49927535573804,"3","A"
"Cell65_1",-1.32511303630034,-0.59517148891444,"1","A"
"Cell66_1",-2.56801874234864,-0.874060800354684,"1","A"
"Cell67_1",-0.115106591212165,1.73299833832933,"3","A"
"Cell68_1",1.88574988764109,-1.77974173633951,"2","A"
"Cell69_1",1.81926607989346,1.02816249695323,"2","A"
"Cell70_1",3.35754146765329,-0.821311425272372,"2","A"
"Cell71_1",-2.90488816688964,-3.35660768087682,"1","A"
"Cell72_1",-0.918874415939363,-2.27270697705258,"1","A"
"Cell73_1",3.03422096346104,-0.154361531625234,"2","A"
"Cell74_1",0.840885665868681,2.85516564234013,"3","A"
"Cell75_1",-0.765360338147457,1.6734948620554,"3","A"
"Cell76_1",-1.82604431880482,-2.66526734886222,"1","A"
"Cell77_1",0.157024099826845,3.76383249887397,"3","A"
"Cell78_1",-1.78756263963818,0.721254114291624,"2","A"
"Cell79_1",2.26359240429045,1.28075537196347,"2","A"
"Cell80_1",0.922234924167175,1.66876168728931,"3","A"
"Cell81_1",-1.90356051814418,-1.64720482777579,"1","A"
"Cell82_1",2.52722115584523,-0.123673222865569,"2","A"
"Cell83_1",0.815626536727239,2.65940337644885,"3","A"
"Cell84_1",-0.259161043336846,-0.028471760297341,"3","A"
"Cell85_1",-2.06793229605811,-1.3316878503084,"1","A"
"Cell86_1",-3.48499971079156,-2.54309824215068,"1","A"
"Cell87_1",-0.143171476374134,2.65632651748445,"3","A"
"Cell88_1",-2.00700161390648,-2.88421853714948,"1","A"
"Cell89_1",-1.54406026915459,-1.45025092716241,"1","A"
"Cell90_1",2.94799716559733,-0.842041395284352,"2","A"
"Cell91_1",3.86656482859409,-0.0765992182719077,"2","A"
"Cell92_1",0.603642138867091,2.24194379957217,"3","A"
"Cell93_1",1.25599441235346,3.42212478693277,"3","A"
"Cell94_1",0.945365709638359,-1.39462917298059,"2","A"
"Cell95_1",1.73251221270937,-0.487828849574158,"2","A"
